locality_id,lat,long,locality
324,-37.918437,143.758576,ROKEWOOD
325,-38.049195,144.194625,BANNOCKBURN
326,-37.944446,144.097178,LETHBRIDGE
327,-37.87179,144.04476,BAMGANIE
328,-37.75803,144.086089,BUNGAL
329,-37.69608887,144.6698898,BONNIE BROOK
330,-37.7069003,144.6393305,GRANGEFIELDS
331,-37.724141,144.699671,PLUMPTON
332,-37.73029166,144.624896,THORNHILL PARK
333,-37.719,144.6684,AINTREE
334,-37.7332,144.7041,DEANSIDE
335,-37.70482231,144.7126219,FRASER RISE
336,-37.65724033,144.5462424,HARKNESS
337,-37.656057,144.571458,KURUNJANG
338,-37.705529,144.571033,BROOKFIELD
339,-37.70732038,144.6008548,COBBLEBANK
340,-37.73398997,144.5969094,STRATHTULLOH
341,-37.72870467,144.5683367,WEIR VIEWS
342,-37.787135,144.394442,BACCHUS MARSH
343,-37.84038931,144.2550519,STAUGHTON VALE
344,-37.573711,144.308232,DALES CREEK
345,-37.651463,144.239102,BALLAN
346,-37.5878,144.123664,GORDON
347,-37.571941,143.864505,ALFREDTON
348,-37.55411084,143.769084,LUCAS
349,-37.758248,143.637463,BERRINGA
350,-37.482132,143.662387,ADDINGTON
351,-37.60335408,143.813696,BONSHAW
352,-37.7778,144.835743,BALLARAT
353,-37.560917,143.867158,BAKERY HILL
354,-37.530285,143.82561,LAKE GARDENS
355,-37.592283,143.82846,BONSHAW
356,-37.653945,143.883416,BUNINYONG
357,-37.58012926,143.7928013,WINTER VALLEY
358,-37.72758817,143.5955266,HAPPY VALLEY
359,-37.779677,143.51253,LINTON
360,-37.752643,143.373089,BRADVALE
361,-37.420588,143.88637,CRESWICK
362,-37.45543067,143.9835358,DEAN
363,-37.334655,143.907186,ALLENDALE
364,-37.47880506,144.0999652,BARKSTEAD
365,-37.36045587,143.8443538,GLENDONALD
366,-37.08856117,143.9880643,JOYCES CREEK
367,-37.40001075,143.9221405,SMOKEYTOWN
368,-37.252718,143.815613,CLUNES
369,-37.27629787,143.8880006,ULLINA
370,-37.196938,143.635622,AMHERST
371,-37.1766686,143.7666842,RED LION
372,-37.457785,143.343429,BEAUFORT
373,-37.231524,142.956916,GREAT WESTERN
374,-37.424288,143.143621,BALLYROGAN
375,-37.12975291,142.9948304,BULGANA
376,-37.06683249,143.0871367,SHAYS FLAT
377,-37.528792,142.985403,TATYOON
378,-37.7667,142.6833,BERRAMBOOL
379,-37.534037,142.521439,BORNES HILL
380,-37.0666,142.771159,BELLELLEN
381,-36.988914,142.7154,BARKLY
382,-37.13783665,142.6925099,BELLELLEN
383,-37.1348818,142.7641486,BLACK RANGE
384,-37.09290738,142.6448077,MOKEPILLY
385,-37.04638597,142.5318605,MOUNT DRYDEN
386,-36.93829078,143.2173081,BARKLY
387,-37.04625762,142.8740132,CONCONGELLA
388,-37.000261,143.126344,FRENCHMANS
389,-37.01984772,142.9867746,JOEL JOEL
390,-37.06314423,142.9994761,JOEL SOUTH
391,-36.94387585,143.0484349,TULKARA
392,-36.904185,142.647565,DADSWELLS BRIDGE
393,-36.99999967,142.7110642,DEEP LEAD
394,-36.73975806,142.5335742,LUBECK
395,-36.97419597,142.4561838,ROSES GAP
