,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
108,WILLIAMS LANDING,-37.86199812,144.7430155,29,8643474,Williams Landing,3.0,2022-08-02,3000.0,MODERATE,1
109,WILLIAMS LANDING,-37.86199812,144.7430155,29,8643474,Williams Landing,1.7,2022-07-31,1772.7,LOW,0
110,WILLIAMS LANDING,-37.86199812,144.7430155,29,8643474,Williams Landing,3.5,2022-08-03,3334.1,MODERATE,1
111,WILLIAMS LANDING,-37.86199812,144.7430155,29,8643474,Williams Landing,2.4,2022-08-01,2555.6,LOW,0
112,ALTONA MEADOWS,-37.875066,144.777165,30,9972579,Altona Meadows,3.0,2022-08-02,3000.0,MODERATE,1
113,ALTONA MEADOWS,-37.875066,144.777165,30,9972579,Altona Meadows,1.7,2022-07-31,1772.7,LOW,0
114,ALTONA MEADOWS,-37.875066,144.777165,30,9972579,Altona Meadows,3.5,2022-08-03,3334.1,MODERATE,1
115,ALTONA MEADOWS,-37.875066,144.777165,30,9972579,Altona Meadows,2.4,2022-08-01,2555.6,LOW,0
116,HOPPERS CROSSING,-37.837165,144.705831,31,8643474,Williams Landing,3.0,2022-08-02,3000.0,MODERATE,1
117,HOPPERS CROSSING,-37.837165,144.705831,31,8643474,Williams Landing,1.7,2022-07-31,1772.7,LOW,0
118,HOPPERS CROSSING,-37.837165,144.705831,31,8643474,Williams Landing,3.5,2022-08-03,3334.1,MODERATE,1
119,HOPPERS CROSSING,-37.837165,144.705831,31,8643474,Williams Landing,2.4,2022-08-01,2555.6,LOW,0
120,FLEMINGTON,-37.79119,144.923403,32,9972408,Flemington,2.7,2022-08-02,2944.9,LOW,0
121,FLEMINGTON,-37.79119,144.923403,32,9972408,Flemington,2.3,2022-07-31,1901.8,LOW,0
122,FLEMINGTON,-37.79119,144.923403,32,9972408,Flemington,2.3,2022-08-01,2330.1,LOW,0
123,FLEMINGTON,-37.79119,144.923403,32,9972408,Flemington,3.5,2022-08-03,3341.9,MODERATE,1
124,ASCOT VALE,-37.774486,144.897221,33,2158724,Maribyrnong,2.7,2022-08-02,2955.5,LOW,0
125,ASCOT VALE,-37.774486,144.897221,33,2158724,Maribyrnong,2.3,2022-07-31,1908.6,LOW,0
126,ASCOT VALE,-37.774486,144.897221,33,2158724,Maribyrnong,2.3,2022-08-01,2337.2,LOW,0
127,ASCOT VALE,-37.774486,144.897221,33,2158724,Maribyrnong,3.6,2022-08-03,3353.6,MODERATE,1
128,KEILOR EAST,-37.74107,144.857638,34,9972422,Keilor East,2.7,2022-08-02,2955.5,LOW,0
129,KEILOR EAST,-37.74107,144.857638,34,9972422,Keilor East,2.3,2022-07-31,1908.6,LOW,0
130,KEILOR EAST,-37.74107,144.857638,34,9972422,Keilor East,2.3,2022-08-01,2337.2,LOW,0
